Type,Match,Node,x,y,o,z
Pose,,1,0.000245727,-1.94E-05,-0.000348399,-99999
Feat,,-1,0.398369073,-0.004103211,-99999,0.127412317
Feat,,-2,0.368862207,-0.154888571,-99999,0.136918377
Pose,,2,-0.291175458,-0.007318771,0.225321207,-99999
Feat,-1,-1,0.794421009,-0.311625148,-99999,0.169411313
Feat,,-3,0.796759202,-0.312737302,-99999,0.1717124
Pose,,3,-0.309738939,-0.004296268,0.09939169,-99999
Feat,-2,-2,0.969460235,-0.737468734,-99999,-0.143532778
Feat,,-4,0.969352391,-0.736340068,-99999,-0.142006258
Feat,-1,-1,1.097279549,-0.617075665,-99999,0.174748206
Feat,-3,-3,1.096997205,-0.615524453,-99999,0.176050009
Pose,,4,0.606658159,0.014715716,-0.504072988,-99999
Feat,-2,-2,0.311349877,-0.090926009,-2.082428209,-0.119957292
