Type,Match,Node,x,y,o,z,,x,y,o,z
Pose,,1,0.011206161,-0.000283226,2.262136699,,,0.011206161,-0.000283226,2.262136699,
Feat,,-1,-0.004578688,0.408839538,,0.127044007,,-0.015784849,0.409122764,,0.127044007
Feat,,-2,-0.155405229,0.380306782,,0.136842193,,-0.16661139,0.380590008,,0.136842193
Pose,,2,0.011451888,-0.000302589,2.2617883,,,0.000245727,-1.9363E-05,-0.000348399,
Feat,-1,-1,-0.0044058,0.409820962,,0.127412317,,-0.015857688,0.410123551,,0.127412317
Feat,-2,-2,-0.15519116,0.380314096,,0.136918377,,-0.166643048,0.380616685,,0.136918377
Pose,,3,-0.279723569,-0.00762136,2.487109507,,,-0.291175457,-0.007318771,0.225321207,
Feat,-1,-1,-0.319246508,0.514697439,,0.169411313,,-0.039522939,0.522318799,,0.169411313
Feat,,-3,-0.320358662,0.517035632,,0.1717124,,-0.040635093,0.524656992,,0.1717124
Pose,,4,-0.589462508,-0.011917628,2.586501197,,,-0.309738939,-0.004296268,0.09939169,
Feat,-2,-2,-0.749386363,0.379997726,,-0.143532778,,-0.159923855,0.391915354,,-0.143532778
Feat,,-4,-0.748257696,0.379889883,,-0.142006258,,-0.158795188,0.391807511,,-0.142006258
Feat,-1,-1,-0.628993293,0.507817041,,0.174748206,,-0.039530785,0.519734669,,0.174748206
Feat,-3,-3,-0.627442081,0.507534697,,0.176050009,,-0.037979573,0.519452325,,0.176050009
Pose,,5,0.017195651,0.002798088,2.082428209,,,0.606658159,0.014715716,-0.504072988,
Feat,-2,-2,-0.088127921,0.328545528,,-0.119957292,,,-0.088127921,,-0.119957292
